	entry	grammar	definition	xr
6109	upavadamāna	present participle adjective		upavadati
6110	upavadita	past participle adjective	criticized	upavadati
6111	upavasati	present 3 singular	lives in a state of abstinence, observes (a fast or (the duties of) an uposatha day)	upavasati
6112	upavasitvā	absolutive		upavasati
6113	upavassa	absolutive		upavasati
6114	upavassaṁ	absolutive		upavasati
6115	upavāda	masculine	criticism, blame; abuse	
6116	upavādaka	masculine	one who criticizes or abuse	
6117	upavāyati	present 3 singular	blows, blows upon	upavāyati
6118	upavāyanta	present participle adjective		upavāyati
6119	upavāsa	masculine	tenant; dependent	
6120	upavicarati	present 3 singular	ranges over (mentally), considers, occupies oneself with	
6121	upavicāra	masculine	ranging over (mentally); preoccupation	
6122	upavijañña	feminine	close to giving birth, in advanced stage of pregnancy	
6123	upaviṭṭha	past participle adjective	seated	upavisati
6124	upavisiṁ	1 singular	(I am) approaching; entering	upavisati
6125	upavīṇa	masculine	the head or neck of a vīṇa	
6126	upavuttha	past participle adjective	(act.) having fasted; having observed	upavasati
6127	upavuttha	past participle adjective	(passive) observed, kept	upavasati
6128	upavutthuposatha	adjective	who has observed the uposatha day	upavuttha
6129	upavhayati	present 3 singular	calls (to); invites	
6130	upavhayanta	present participle adjective		upavhayati
6131	upasaṁyāti	present 3 singular	comes in a body towards	upasaṁharati
6132	upasaṁharati	present 3 singular	draws together, collects; puts together with, puts in; brings, brings near to, provides; brings about; brings into contact with; brings to bear on, focuses on; brings together (for comparison), sees as similar	upasaṁharati
6133	upasaṁharanta	present participle adjective (f. ~antī)		upasaṁharati
6134	upasaṁhariṁsu	3 plural		upasaṁharati
6135	upasaṁharitvā	absolutive		upasaṁharati
6136	upasaṁhasi	aorist 3 singular		upasaṁharati
6137	upasagga	masculine	(also upassagga) misfortune; trouble	
6138	upasaṅkanta	past participle adjective	who has approached, gone to, visited; having approached, gone to	upasaṅkamati
6139	upasaṅkamat	present participle adjective		upasaṅkamati
6140	upasaṅkama	present participle adjective		upasaṅkamati
6141	upasaṅkamati	present 3 singular	approaches; goes to, goes to see, visits	upasaṅkamati
6142	upasaṅkamana	neuter	going to see, visiting; approaching	
6143	upasaṅkamanta	present participle adjective (f. ~antī) upasaṅkamati		upasaṅkamati
6144	upasaṅkami	aorist 3 singular		upasaṅkamati
6145	upasaṅkamiṁsu	3 plural		upasaṅkamati
6146	upasaṅkamitar	inf	(from upasaṅkamati) one who approaches, goes to; one who goes to see; visits	upasaṅkamati
6147	upasaṅkamita	inf	(from upasaṅkamati) one who approaches, goes to; one who goes to see; visits	upasaṅkamati
6148	upasaṅkamitabba	future passive participle adjective & neuter impersonal		upasaṅkamati
6149	upasaṅkamituṁ	infinitive		upasaṅkamati
6150	upasaṅkamitvā	absolutive		upasaṅkamati
6151	upasaṅkamma	absolutive		upasaṅkamati
6152	upasaṅkheyya	adjective	to be reckoned (as)	upasaṅkamati
6153	upasaṅgayha	indeclinable	taking hold of, clasping	upasaṅkamati
6154	upasaṭṭha	adjective & neuter	troubled, afflicted, visited by troubles; trouble, affliction	upassaṭṭha
6155	upasanta	past participle adjective	calmed, pacified, at peace; calm, tranquil; ceased, extinguished	upasammati
6156	upasantapadissa	adjective	of calm appearance, looking at peace	upasanta
6157	upasama	masculine	becoming quite, alleviation, stopping; calmness, peace, tranquility	
6158	upasamati	present 3 singular	becomes calm or quite; ceases; is allayed, is extinguished	upasammati
6159	upasamaddhiṭṭhāna	neuter & adjective	(neuter) fixing the mind on tranquility; resolution for calmness	upasama
6160	upasamaddhiṭṭhāna	neuter & adjective	(adjective) fixing the mind on tranquility; resolving for calmness	upasama
6161	upasampajja	absolutive	reaching, attaining; having entered upon	upasampajjati
6162	upasampajja	absolutive	being ordained; after ordination	upasampajjati
6163	upasampajjati	present 3 singular	obtains; is ordained, is received into the saṅgha; obtains the upasampadā ordination	upasampajjati
6164	upasampajjituṁ	infinitive		upasampajjati
6165	upasampadā	feminine	attainment	
6166	upasampadā	feminine	full ordination, admission into the saṅgha	
6167	upasampanna	past participle adjective	possessed of; ordained; who is a member of the saṅgha	upasampajjati
6168	upasampādayati	causative present 3 singular	ordains, receives into the saṅgha (with the upasampadā ordination)	['upasampajjati', 'upasampādeti']
6169	upasampādita	past participle adjective	(adjective) given ordination, ordained (with the upasampadā ordination)	upasampādeti
6170	upasampādita	past participle adjective	(neuter) ordaining	upasampādeti
6171	upasampādetabba	future passive participle adjective & neuter impersonal		['upasampajjati', 'upasampādeti']
6172	upasampādetar	masculine	(from upasampādeti) one who ordains	
6173	upasampādeta	masculine	(from upasampādeti) one who ordains	
6174	upasampādeti	causative present 3 singular	ordains, receives into the saṅgha (with the upasampadā ordination)	['upasampajjati', 'upasampādayati']
6175	upasampādetvā	absolutive		['upasampajjati', 'upasampādeti']
6176	upasampādenta	present participle adjective (f. ~entī) upasampajjati		upasampādeti
6177	upasampādesi	aorist 3 singular		['upasampajjati', 'upasampādeti']
6178	upasampādesuṁ	3 plural		['upasampajjati', 'upasampādeti']
6179	upasammati	present 3 singular	becomes calm or quite; ceases; is allayed, is extinguished	['upasammati', 'upasamati']
6180	upasāmayati	causative present 3 singular	calms, makes settle	
6181	upassagga	masculine	(also upasagga) misfortune; trouble	
6182	upasiṅghati	present 3 singular	smells, sniffs; kisses	upasiṅghati
6183	upasumbhati	present 3 singular	throws to	
6184	upasussati	present 3 singular	dries up	upasussati
6185	upasussayati	causative present 3 singular		upasussati
6186	upasevati	present 3 singular	frequents, stays at; associates with, consorts with; makes use of (frequently)	upasevati
6187	upasevanā	feminine	practice, performance; devotion (to); association (with); use	
6188	upasevamāna	present participle adjective		upasevati
6189	upasobhati	present 3 singular	looks beautiful or splendid; shines, is brilliant	upasobhati
6190	upasobhayanta	present participle adjective	making beautiful, adorning	
6191	upasobhita	past participle adjective	made beautiful, adorned; beautiful	upasobhati
6192	upassaṭṭha	adjective & neuter	troubled, afflicted, visited by troubles; trouble, affliction	upasaṭṭha
6193	upassaya	masculine (& neuter)	support; shelter, refuge; dwelling, place to stay; recourse, resorting to	
6194	upassutiṁ	adverb	within earshot; so as to listen or overhear	
6195	upahacca	absolutive	coming into contact with, reaching; harming; making impure or ill disposed	upahanati
6196	upahaccaparinibbāyin	adjective	who realizes nibbāna in the latter half of his existence in one of the suddhāvāsas	upahacca
6197	upahaccaparinibbāyi	adjective	who realizes nibbāna in the latter half of his existence in one of the suddhāvāsas	upahacca
6198	upahaññati	passive present 3 singular	is harmed, is damaged; suffers	upahanati
6199	upahata	past participle adjective	harmed, injured, impaired; upset, spoiled; made impure or ll-disposed	upahanati
6200	upahattar	masculine	one who brings, who presents	
6201	upahatta	masculine	one who brings, who presents	
6202	upahanati	present 3 singular	hits, comes into contact with, reaches; hurts, damages, impairs	upahanti
6203	upahanti	present 3 singular	hits, comes into contact with, reaches; hurts, damages, impairs	upahanati
6204	upahantvāna	absolutive		upahanati
6205	upaharati	present 3 singular	brings, brings near; offers, presents	
6206	upahāra	masculine	bringing; offering; present, presentation; service	
6207	upahiṁsati	present 3 singular	hurts, injures	
6208	upāgacchiṁ	1 singular		upagacchati
6209	upāgañchiṁ	1 singular		upagacchati
6210	upāgata	adjective	who has approached; arrived at; entered into (a state or condition)	upāgacchati
6211	upāgamaṁ	1 singular		upagacchati
6212	upāgami	aorist 3 singular		['upāgacchati', 'upagacchati']
6213	upāgamiṁ	1 singular		upagacchati
6214	upāgamuṁ	3 plural		upagacchati
6215	upāgamma	indeclinable	approaching; having entered upon; beings subject to	
6216	upāgā	aorist 3 singular	approached; arrived at; (also upāgā)	
6217	upātigā		go past, pass by; go beyond, escape from; overcome	
6218	upātidhāvati	present 3 singular	runs beyond, rushes over	
6219	upātipanna	adjective	fallen into the power of, a prey to (+locative.)	
6220	upātivatta	past participle adjective	gone beyond, free from	upativattati
6221	upātivattat	present participle adjective		upātivattati
6222	upātivattati	present 3 singular	goes beyond; escapes from; transgresses; oversteps	
6223	upātivattatittho	aorist 2 singular		upātivattati
6224	upādahati	present 3 singular	places upon; lays upon, imposes	upadaheti
6225	upādaheti	present 3 singular	places upon; lays upon, imposes	upadahati
6226	upādāna	neuter	taking as one’s own, laying hold of, grasping	
6227	upādāna	neuter	material support or cause, fuel; (it is often difficult to determine which meaning is intended; both reinforce each other: previous grasping produces fuel, which is itself then grasped)	
6228	upādānakkhandha	masculine	one of the five groups of the elements of existence connected with grasping (as cause or object) (and being material support or fuel)	upādāna
6229	upādāniya	adjective	(from upādāna) likely to be taken as one’s own, tending to produce grasping; serving as a support or fuel	
6230	upādāya	absolutive	taking for oneself taking as one’s own, adopting; making use of, having as material support or cause; being evolved or deriving (from, genitive)	upādiyati
6231	upādāya	absolutive	(postp., + accusative or genitive), with, out of because of; with reference to, in respect of; relative to, in comparison with	upādiyati
6232	upādāya	absolutive	including; beginning from	upādiyati
6233	upādiṇṇa	past participle adjective	taken hold of, taken for one’s own; grasped; used	['upādiyati', 'upādinna']
6234	upādiṇṇa	past participle adjective	evolved, derived, especially evolved by the influence of previous kamma (usually explained by commentaries as meaning 1.); animated	['upādiyati', 'upādinna']
6235	upādiṇṇa	past participle adjective	not holding on to, not grasping	['upādiyati', 'upādinna']
6236	upādinna	past participle adjective	taken hold of, taken for one’s own; grasped; used	['upādiyati', 'upādiṇṇa']
6237	upādinna	past participle adjective	evolved, derived, especially evolved by the influence of previous kamma (usually explained by commentaries as meaning (1) animated	['upādiyati', 'upādiṇṇa']
6238	upādinna	past participle adjective	not holding onto, not grasping	['upādiyati', 'upādiṇṇa']
6239	upādiyat	present participle adjective		upādiyati
6240	upādiya	present participle adjective		upādiyati
6241	upādiyati	present 3 singular	appropriates to oneself, takes as one’s own, adopts; lays hold of, grasps; uses; takes as material source, derives, evolves (from)	upādiyati
6242	upādiyamāna	part.present adjective		upādiyati
6243	upādiyiṁ	aorist 3 singular		upādiyati
6244	upādiyitvā	absolutive		upādiyati
6245	upādisesa	masculine	a remnant of material support or fuel; a residue of grasping	
6246	upāya	masculine (& adjective)	(masculine) way, means; expedient; appropriate way, successful means; strategy, stratagem	
6247	upāya	masculine (& adjective)	(adjective) going to; being involved	
6248	upāyakosalla	neuter	knowledge about the appropriate way or means	upāya
6249	upāyaññu	adjective	knowing the means, knowing the way	upāya
6250	upāyāsa	masculine	trouble, unrest; annoyance, irritation	
6251	upāyāsabahula	adjective	irritable, easily annoyed	upāyāsa
6252	upāyāsita	adjective	troubled, irritated	
6253	upāyupādāna	neuter & ~ā, masculine plural	involvement and holding on to	['upāyūpādāna', 'upāya']
6254	upāyūpādāna	neuter & ~ā, masculine plural	involvement and holding on to	['upāyupādāna', 'upāya']
6255	upāyena	instrumental adverb	skillfully; in the right way; by a stratagem	upāya
6256	upāraddha	past participle adjective	criticized; challenged, confuted	upārambhati
6257	upārambha	masculine	reproof, criticism, faultfinding; argumentative challenge	
6258	upārambhacitta	adjective	critical, finding fault, captious	upārambha
6259	upārambhati	present 3 singular	criticizes, finds fault; challenges, confutes	
6260	upārambhānisaṁsa	adjective	useful for argumentative challenge, thinking it useful for argumentative challenge	upārambha
6261	upāvisi	aorist 3 singular	useful for argumentative	upavisati
6262	upāvisiṁ	1 singular	challenge, thinking it useful for argumentative	
6263	upāvisuṁ	3 plural	challenge	
6264	upāsaka	masculine	a lay-follower, a lay-disciple (of the Buddha)	upāsikā
6265	upāsati	present 3 singular	sits near, stays near; waits upon, serves, is devoted to; approaches; approaches respectfully	upāsati
6266	upāsana	neuter	shooting (arrows); practice (of archery); practicing (a skill)	
6267	upāsamāna	present participle adjective		upāsati
6268	upāsikā	feminine	a female lay-follower, female lay-disciple (of the Buddha)	upāsaka
6269	upāsita	past participle adjective	served, honored	upāsati
6270	upāsitar	masculine	(from upāsati) one who serves, who honors	
6271	upāsituṁ	infinitive		upāsati
6272	upāhanapappoṭhanasadda	masculine	the sound of the knocking of sandals	upāhanā
6273	upāhanā	feminine ~a, masculine	a sandal; a pair of sandals; slippers	
