pali	grammar	meaning	from
anekarūpa	adjective & neuter	(neuter) manifold form; various ways	aneka
anekavassagaṇika	adjective	in existence for many years	aneka
anekavidha	adjective	of several kinds; manifold; various	aneka
anekavihita	adjective	variously ordered; of several kinds, various	aneka
anekasata	adjective	consisting of many hundreds	aneka
anekasahassa	adjective	consisting of many thousands	aneka
anekasārīrika	adjective (feminine)	relating to more than one body, connected with many bodies	aneka
aneja	adjective	(adjective) unmoved, imperturbable; without emotion	ejā
aneja	adjective	(neuter) imperturbability; immovable state; freedom from emotion	ejā
aneñja	neuter (& adjective?)	(neuter) immovability; imperturbability	āneñja
aneñja	neuter (& adjective?)	(adjective, or neuter in apposition?) unmoved; not to be stirred; imperturbable (often applied both to determinative actions leading to existence in arūpāvacara spheres, and to arūpa jhāna stages)	āneñja
anelaka	adjective	(of honey) pure	['anīlaka', 'aniḷaka', 'aneḷaka']
anelagala	adjective	(faultless (of speech, of voice)	['aneḷagala', 'aneḷagaḷa']
anelamūga	adjective	not foolish, wise	elamūga
aneḷaka	adjective	(of honey) pure	['anīlaka', 'aniḷaka', 'anelaka']
aneḷagala	adjective	(faultless (of speech, of voice)	['anelagala', 'aneḷagaḷa']
aneḷagaḷa	adjective	(faultless (of speech, of voice)	['aneḷagala', 'anelagala']
aneḷamūga	adjective	not foolish, wise	eḷamūga
anesana	neuter	an improper way of seeking; an improper means of obtaining	esana
anesanā	f	an improper way of seeking; an improper means of obtaining	esanā
anoka	adjective & neuter	(adjective) without a home; independent	oka
anoka	adjective & neuter	(neuter) homelessness; independence	oka
anokāsaṃ kata	phrase	how has not given the opportunity; who has not consented or given permission	okāsaṁ karoti
anokāsaṃ kārāpetvā	phrase	without having consent	okāsaṁ kārāpeti
anojagghati	present 3 singular	laughs at; mocks	anujagghati
anojavat	negative adjective	lacking strength or vitality; lacking nutriment; not juicy	ojava(t)
anojava	negative adjective	lacking strength or vitality; lacking nutriment; not juicy	ojava(t)
anoñāta	adjective	not despised; respected	oñāta
anoññāta	adjective	not despised; respected	oññāta
anotiṇṇa	adjective	who has not gone into, has not penetrated; not having entered; not appeared; not under consideration	
anottappa	neuter a	shamelessness; failure to avoid wrong-doing or blame	ottappa
anottappī	adjective	shameless, not fearful (of doing wrong)	ottappi(n)
anottappi	adjective	shameless, not fearful (of doing wrong)	ottappi(n)
anottāpī	adjective	shameless, not fearful (of doing wrong)	ottāpi(n)
anottāpi	adjective	shameless, not fearful (of doing wrong)	ottāpi(n)
anodaka	adjective	without water	['anudaka and anūdaka', 'udaka']
anodarikatta	neuter abstr	freedom from gluttony; moderation in eating	odarikatta
anodissa	indeclinable	without reference (to a specific person); in general; universally	odissa
anodhiṃ karitvā	phrase	not limiting, without limitation; without discrimination, without distinction	odhita
anodhikatvā	absolutive	not limiting, without limitation; without discrimination, without distinction	odhita
anodhijina	adjective	who has not overcome the limits, who has not gone beyond what is limited or limits; or not knowing as far as the furthest extent	odhi
anopama	adjective	incomparable, peerless; excellent, best	['anūpama & anupama', 'upamā']
anopārambha	adjective	not open to criticism, not censurable	opārambha
anomajjati	present 3 singular	rubs down along; strokes (one’s limbs) again and again	
anomananta	negative adjective	not bowing; not stooping; not sinking	
anomanāma	adjective	perfectly named; or named for one’s perfection or superior virtues	oma
anomanikkama	adjective	of superior or excellent energy and exertion	oma
anovassa	neuter	a place sheltered from the rain	
anovassaka	adjective (f. -ikā)	(adjective) sheltered from the rain; not rained upon	anovassika
anovassaka	adjective (f. -ikā)	(neuter) a place sheltered from the rain	anovassika
anovassika	adjective & neuter	(adjective) sheltered from the rain; not rained upon	anovassaka
anovassika	adjective & neuter	(neuter) a place sheltered from the rain	anovassaka
anovādī	adjective	not giving instructions	
anovādi	adjective	not giving instructions	
anosita	adjective	not inhabited, not occupied	
anta	masculine	end, limit, conclusion; death, destruction; edge, boundary; extreme, opposing principle	
anta	masculine	(adjective) last, ultimate; worst, mean, contemptible	
anta	masculine	(neuter (singular & plural) the bowels, intestines	
antaanta	adjective	the most remote	anta
antamanta	adjective	the most remote	anta
antaka	m(fn.)	“making an end”, a designation of the god of death, identified with Mārā	
antakara	adjective	putting an end (to, genitive)	anta
antakiriyā	feminine	putting an end to; destruction	anta
antaga	adjective	having reached the end; thoroughly conversant with reaching perfection (in); extreme	anta
antagaṇṭhi	masculine	twisting of the gut, a twisted gut	anta
antagū	adjective	going to the end; having reached the end	anta
antaggāhikā	adjective (feminine)	involving extreme standpoints	anta
antajana	masculine	the inner household; servants	
antananta	adjective	finiteness or limitless	anta
antanantika	adjective	believing in the finiteness or limitless (of the world)	anta
antamaso	indeclinable	eve; even so much as	
antara	adjective & neuter	(adjective) interior; inner, inward	
antara	adjective & neuter	(neuter) interior part, inside; heart, mind; place between; interval (of time or space); moment between (two events); distance; difference, disagreement	
antara	adjective & neuter	inner meaning, real state of the case	
antara	adjective & neuter	concentrates on, keeps in mind	
antaraṃ karoti	phrase	concentrates on; keeps in mind	antara
antarakappa	masculine (& neuter)	a subdivision or intermediate cycle of a mahākappa	antara
antaragharaṃ	indeclinable	between the houses, among the houses (i.e. in the village); within a house	antara
antaraghare	indeclinable	within a house; (see antara)	
antaraṭṭhaka	masculine	occurring between the aṭṭhakā days	antara
antarato	indeclinable	from within, inwardly	antara
antaradhāna	neuter	disappearance, vanishing, passing away	
antaradhāpayati	causative present 3 singular	causes to disappear; destroys	['antaradhāyati', 'antaradhāpeti']
antaradhāpeti	causative present 3 singular	causes to disappear; destroys	['antaradhāyati', 'antaradhāpeti']
antaradhāyati	present 3 singular	disappears; vanishes	antaradhāyati
antarabhogika	masculine	a border chieftain (between two kingdoms)	antara
antaravassa	neuter	the rainy season	antara
antaravāsaka	masculine	an inner garment, especially the innermost of the three robes of a bhikkhu	antara
antarahita	past participle adjective	disappeared, vanished; covered; invisible	antaradhāyati
antarā	adverb & prep	(adverb) inside; on the way, in the meantime; beforehand, before (reaching something)	
antarā	adverb & prep	(prep.) between (genitive or acc)	
antarākathā	feminine	mutual talk, conversation (between)	antarā
antarākāja	masculine	a load on a carrying pole suspended between two persons	antarā
antarāntara	indeclinable	in the middle; as an interruption	antarā
antarāpaṇa	masculine	a market, bazaar	
antarāparinibbāyī	masculine	one who realized nibbāna beforehand (before passing the midpoint of his term life in heaven)	antarā
antarāparinibbāyi	masculine	one who realized nibbāna beforehand (before passing the midpoint of his term life in heaven)	antarā
antarāppati	feminine	an offense committed in the meantime (i.e. before the expiration of a parivāsa or mānatta period)	antarā
antarāmaggato	indeclinable	from on the road	antarā
antarāmagge	indeclinable	on the way	antaraā
antarāmuttaka	adjective	released or vacant in the meantime	antarā
antarāya	masculine	an obstacle, hindrance; danger, accident; (euphemism for) ruin, death	
antarāyaṃ karoti	phrase	hinders, prevents (+genitive rei and personae or +accusative personae, locative rei)	antarāya
antarāyakara	adjective (f. ~ī)	causing obstacles; preventing	antarāya
antarāyika	adjective	causing obstacles, forming an impediment	
antarāvosāna	neuter	giving up half-way	antarā
antarāhosi	aorist 3 singular	was interrupted; was drowned	
antarikā	feminine	space between, interstice, interval; cleft, chink	
antarena	instrumental	through, between (accusative or genitive)	antara
antarubbhāra	masculine	the removal (of the kaṭhina), ending (of the kaṭhina period and its special allowances) before the usual time	antarā
antaḷikkha	neuter (& masculine?)	intermediate space, the atmosphere, the air; the sky	
antaḷikkhaga	adjective	going through the air	antaḷikkha
antaḷikkhacara	adjective	traveling through the air	antaḷikkha
antaḷikkhecara	adjective	traveling through the air	
antavat	adjective (feminine)	having an end, limited, finite	anta
antava	adjective (feminine)	having an end, limited, finite	anta
antābādha	masculine	the illness of twisting of the gut:	anta
antika	adjective	teaching to; reaching to the end of	
antima	adjective	last, final; lowest, meanest	
antimadehadhara	adjective	who has his last body	antima
antimadehadhārī	adjective id	who has his last body	antima
antimadehadhāri	adjective id	who has his last body	antima
antimapurisa	masculine	the last man, the meanest man; last of the line	antima
antimavattu	neuter	an extreme offense	antima
antimasārīra	adjective	having his last body	antima
antena	instrumental adverb	at last, in the end	anta
antepura	neuter	the royal palace, especially the inner apartments, the harem	
antevāsika	masculine	(being) a (resident) pupil	
antevāsī	masculine	‘dwelling near or in the house (of his master)’, (who is) a (resident) pupil; an apprentice	antevāsinī
antevāsi	masculine	‘dwelling near or in the house (of his master)’, (who is) a (resident) pupil; an apprentice	antevāsinī
antevāsinikamyatā	feminine	a desire to get pupils	antevāsi(n)
antevāsinī	feminine	‘dwelling near or in the house (of her master)’, (who is) a (resident) pupil; an apprentice	antevāsi(n)
anto	adverb & prep	(adverb) within, inside	
anto	adverb & prep	(prep.) + locative (sometimes written as cpd): within, inside, in the middle (of)	
anto	adverb & prep	+ accusative (sometimes written as cpd): within, inside	
antoaruna	neuter	the time before sunrise	anto
antoārāma	masculine	the inner part of an ārāma	anto
antoāvasatha	masculine	the inner part of a dwelling	anto
antokasambu	adjective	rotten inside	anto
antokoṭṭhāgārika	adjective	who has storerooms within, hoarding within	anto
antogata	adjective	being within, turned inward; being contained within	anto
antogadha	adjective	included; contained in	anto
antojaṭa	adjective	entangled within; inner entanglements	antojaṭā
antojaṭā	adjective	entangled within; inner entanglements	antojaṭa
antojana	masculine	the inner household; the family	anto
antojāta	adjective	(a slave) born in the house (of his master)	anto
antojālīkata	adjective	caught in a net; comprehended	anto
antonimuggaposī	masculine	nourished while immersed within	anto
antonimuggaposi	masculine	nourished while immersed within	anto
antoparisoka	masculine	inner grief	anto
antopūti	adjective	rotten inside	anto
antomanas	adjective	sad, melancholy	anto
antomana	adjective	sad, melancholy	anto
antovaṇṇa	adjective	with color/class within	anto
antovana	neuter	the interior of a forest	anto
antovassaṃ	adverb	in the rainy season	anto
antosimaṃ	indeclinable	within the boundary	['anto', 'antosīmāya']
antosīmāya	indeclinable	within the boundary	['anto', 'antosimaṁ']
